Name,Age,Origin,Height,Weight,Category,Wins,Losses,Weapon of Choice,Equipment Quality,Injury History,Mental Resilience,Tactical Knowledge,Battle Experience,Health Status,Training Intensity,Battle Strategy,Survived
Caecilius Munatius,32,Greece,170,108,Secutor,10,6,Dagger,Standard,Low,7.911825734749946,Basic,16,Excellent,Low,Balanced,True
Pilus Maecenas,28,Numidia,164,100,Murmillo,9,1,Dagger,Basic,Low,6.420096958096124,Expert,10,Excellent,Medium,Aggressive,True
Memmius Menenius,34,Thrace,169,87,Murmillo,10,3,Gladius (Sword),Basic,Low,3.1965405186783915,Advanced,13,Excellent,Medium,Aggressive,True
Decimus Galerius,41,Gaul,177,87,Thraex,7,0,Sica (Curved Sword),Standard,Low,5.916500739131002,Basic,7,Good,Low,Aggressive,True
Matinius Numicius,29,Numidia,176,57,Hoplomachus,12,0,Dagger,Standard,Low,3.9072864562777343,Intermediate,12,Excellent,Medium,Balanced,True
Hortensius Considius,21,Thrace,181,86,Secutor,4,0,Gladius (Sword),Basic,Low,4.680025056624295,Advanced,4,Excellent,Medium,Aggressive,True
Paternus Cinna,36,Germania,184,91,Secutor,11,1,Gladius (Sword),Standard,Low,4.682838836198273,Advanced,12,Excellent,Low,Balanced,False
Genucius Petilius,20,Numidia,173,61,Secutor,4,0,Gladius (Sword),Superior,Low,3.7999487263628944,Advanced,4,Excellent,Medium,Balanced,True
Curtius Galerius,20,Thrace,168,88,Murmillo,4,1,Dagger,Basic,Low,5.907109037230155,Intermediate,5,Excellent,Medium,Aggressive,False
Claudius Iuventius,21,Numidia,166,56,Provocator,3,1,Gladius (Sword),Basic,Low,9.737814051878075,Expert,4,Excellent,High,Balanced,True
Numonius Coruncanius,45,Greece,161,80,Hoplomachus,9,1,Dagger,Basic,Low,4.148350808871855,Basic,10,Good,Low,Balanced,True
Ovidius Cantilius,26,Greece,173,51,Retiarius,2,0,Trident,Superior,Low,4.8544545598871744,Intermediate,2,Excellent,Medium,Aggressive,False
Gracchus Titus,38,Greece,167,97,Secutor,10,1,Dagger,Superior,Low,0.9965468454140394,Basic,11,Excellent,Medium,Aggressive,True
Tiberius Maecilius,21,Thrace,155,90,Secutor,6,0,Dagger,Basic,Low,7.419951658895568,Advanced,6,Excellent,High,Balanced,True
Mamilius Hordeonius,35,Germania,147,95,Hoplomachus,11,4,Dagger,Standard,Low,4.383466313085269,Intermediate,15,Excellent,Medium,Aggressive,True
Nautius Iunius,29,Gaul,187,107,Secutor,5,0,Gladius (Sword),Superior,Low,6.66056044962527,Expert,5,Excellent,Low,Balanced,True
Ovidius Messalla,31,Gaul,175,97,Provocator,5,1,Gladius (Sword),Standard,Low,5.289849176451182,Intermediate,6,Excellent,Low,Balanced,True
Fulvius Genucius,18,Numidia,180,99,Secutor,3,0,Gladius (Sword),Standard,Low,5.904073560650811,Intermediate,3,Excellent,Medium,Balanced,True
Hostius Aquillius,33,Greece,170,96,Murmillo,9,3,Dagger,Basic,Low,6.884466805044235,Basic,12,Excellent,Low,Balanced,True
Nasennius Calventius,44,Gaul,183,96,Hoplomachus,14,6,Dagger,Superior,High,0.9944233354092368,Basic,20,Fair,Medium,Balanced,True
Cilnius Iuventius,18,Gaul,180,108,Secutor,5,0,Dagger,Superior,Low,6.834440331329196,Intermediate,5,Excellent,High,Balanced,True
Calventius Festinius,25,Gaul,188,101,Secutor,7,2,Dagger,Basic,Low,6.716792629442877,Intermediate,9,Excellent,Low,Aggressive,True
Considius Didius,42,Germania,185,76,Provocator,7,4,Gladius (Sword),Superior,Low,2.820212216815918,Intermediate,11,Good,Medium,Balanced,True
Octavenus Gnaeus,33,Germania,179,93,Secutor,7,2,Dagger,Standard,Low,3.86450142568949,Basic,9,Excellent,Medium,Balanced,True
Persius Avidius,35,Greece,177,91,Hoplomachus,3,0,Dagger,Superior,Low,6.530088612189938,Basic,3,Excellent,Low,Balanced,True
Maecilius Oppius,32,Rome,187,85,Retiarius,6,0,Net,Standard,Low,6.18001469107087,Intermediate,6,Excellent,Low,Aggressive,True
Pinarus Fulcinia,25,Rome,176,77,Murmillo,12,2,Dagger,Standard,High,3.628096722010443,Expert,14,Excellent,Medium,Defensive,True
Fidius Publius,30,Greece,172,99,Secutor,5,3,Dagger,Superior,Low,4.838802110827591,Intermediate,8,Excellent,Medium,Balanced,True
Octavenus Volumnius,24,Germania,190,80,Secutor,3,0,Gladius (Sword),Superior,Low,3.9777525477376656,Advanced,3,Excellent,Medium,Balanced,True
Cornificius Aquillius,33,Thrace,177,41,Retiarius,10,1,Trident,Superior,Low,4.835290307945634,Intermediate,11,Excellent,Medium,Aggressive,True
Horatius Pilus,24,Gaul,171,84,Secutor,6,2,Dagger,Basic,Low,5.6834416111406645,Expert,8,Excellent,Medium,Aggressive,True
Orestius Licinius,43,Greece,169,89,Murmillo,12,1,Dagger,Basic,Low,3.4751421267824933,Basic,13,Good,Low,Balanced,True
Servius Sempronius,29,Gaul,156,77,Thraex,7,0,Sica (Curved Sword),Standard,Low,9.552488910736628,Expert,7,Excellent,Low,Defensive,True
Sextius Aelius,23,Gaul,163,77,Retiarius,6,0,Trident,Superior,Low,9.12394638783105,Expert,6,Excellent,Medium,Balanced,True
Lucretius Camillius,27,Thrace,168,78,Retiarius,6,0,Trident,Standard,Low,6.206702412808199,Advanced,6,Excellent,Medium,Balanced,True
Pilus Opimius,30,Rome,154,81,Secutor,10,1,Gladius (Sword),Superior,Low,6.48413295236059,Intermediate,11,Excellent,Medium,Balanced,True
Cominius Cestius,23,Thrace,180,59,Provocator,5,0,Gladius (Sword),Superior,Low,4.296977131296014,Expert,5,Excellent,Medium,Balanced,True
Mamilius Cloelius,44,Germania,208,80,Retiarius,11,3,Net,Basic,Low,5.22852184788192,Basic,14,Good,Medium,Balanced,True
Bruttius Marcius,38,Thrace,169,103,Retiarius,11,1,Trident,Basic,Low,1.9859036059070667,Basic,12,Good,Medium,Aggressive,True
Pilus Paconius,26,Gaul,158,102,Secutor,5,0,Gladius (Sword),Standard,Low,7.176844639974806,Intermediate,5,Excellent,Medium,Balanced,True
Laronius Pettius,43,Numidia,179,88,Provocator,6,0,Gladius (Sword),Standard,Low,4.647334668606595,Basic,6,Good,Low,Aggressive,True
Numicius Matienus,42,Germania,179,88,Murmillo,12,1,Dagger,Standard,Low,0.9437269073817725,Basic,13,Good,Medium,Balanced,True
Messalla Murena,39,Germania,171,72,Hoplomachus,11,5,Dagger,Superior,Low,4.126295195415615,Basic,16,Excellent,Medium,Balanced,True
Cocceius Egnatius,42,Gaul,169,104,Hoplomachus,7,1,Spear,Basic,Low,1.3723908369164637,Basic,8,Good,Low,Aggressive,True
Fidius Caecilius,40,Thrace,178,91,Hoplomachus,12,3,Spear,Standard,High,2.6325264535593664,Basic,15,Fair,Low,Balanced,True
Musonius Fidenas,22,Numidia,177,75,Hoplomachus,6,0,Dagger,Basic,Low,3.0617892237440376,Intermediate,6,Excellent,Medium,Balanced,True
Lamponius Fulvius,27,Gaul,175,76,Hoplomachus,5,0,Dagger,Standard,Low,6.8327359567726935,Basic,5,Excellent,Low,Aggressive,True
Laronius Iuventius,44,Germania,162,53,Thraex,18,9,Dagger,Standard,High,0.9778453530843648,Basic,27,Fair,Low,Aggressive,True
Geminius Iulius,40,Numidia,160,57,Retiarius,11,4,Trident,Standard,Low,5.594037303219905,Basic,15,Good,Medium,Aggressive,True
Mescinius Fulvius,43,Rome,171,49,Provocator,11,3,Gladius (Sword),Superior,Low,2.8200351379443966,Basic,14,Good,Low,Aggressive,True
Pinarus Mucius,24,Germania,158,62,Secutor,7,1,Dagger,Basic,Low,4.635938540134969,Advanced,8,Excellent,High,Defensive,True
Atilius Oppius,26,Germania,185,49,Retiarius,6,1,Trident,Basic,Low,8.973235254483514,Expert,7,Excellent,Medium,Balanced,True
Iuventius Antonius,35,Rome,184,66,Retiarius,9,3,Trident,Superior,High,0.9601359941957957,Basic,12,Good,Medium,Balanced,True
Matienus Ofilius,19,Numidia,181,76,Thraex,5,0,Dagger,Superior,Low,7.847562013062472,Advanced,5,Excellent,Medium,Balanced,True
Iuventius Orchius,26,Gaul,170,59,Murmillo,8,3,Gladius (Sword),Superior,High,3.573221700222414,Advanced,11,Excellent,Low,Defensive,True
Cestius Aulus,20,Thrace,179,99,Secutor,10,0,Gladius (Sword),Superior,Low,6.283696751973271,Advanced,10,Excellent,High,Balanced,True
Nigidius Ofilius,19,Germania,170,90,Retiarius,3,0,Trident,Basic,Low,8.097088947120717,Advanced,3,Excellent,Medium,Aggressive,False
Minicius Balbus,42,Germania,184,74,Hoplomachus,14,3,Spear,Basic,High,2.779242167633519,Basic,17,Fair,Medium,Aggressive,True
Opimius Mamilius,44,Gaul,187,92,Murmillo,13,3,Dagger,Basic,Low,2.247684054517209,Basic,16,Good,Medium,Balanced,True
Egnatius Novellius,35,Thrace,163,110,Retiarius,13,2,Net,Basic,High,2.6751398841951874,Advanced,15,Good,Low,Balanced,True
Considius Opimius,42,Greece,177,113,Provocator,12,7,Dagger,Standard,High,0.9516523931588288,Basic,19,Fair,Medium,Aggressive,True
Claudius Cantilius,19,Greece,170,81,Murmillo,7,1,Dagger,Superior,Low,5.574010361243218,Advanced,8,Excellent,Medium,Aggressive,True
Festinius Didius,21,Numidia,196,79,Secutor,4,0,Gladius (Sword),Superior,Low,8.805716300072024,Advanced,4,Excellent,High,Aggressive,True
Horatius Nonius,32,Thrace,183,89,Murmillo,5,0,Dagger,Standard,Low,4.008692513588601,Expert,5,Excellent,Medium,Aggressive,True
Atilius Aulus,39,Rome,181,106,Murmillo,11,3,Dagger,Basic,High,3.867882108788863,Basic,14,Fair,Medium,Aggressive,True
Gaius Didius,18,Gaul,174,77,Hoplomachus,6,0,Dagger,Superior,Low,6.531521768774783,Advanced,6,Excellent,High,Balanced,True
Manilius Acilius,45,Gaul,190,84,Murmillo,12,3,Gladius (Sword),Basic,Low,4.212915779951543,Basic,15,Good,Medium,Aggressive,True
Numitorius Lollius,41,Numidia,184,112,Murmillo,10,3,Gladius (Sword),Standard,Low,4.5268885309491225,Basic,13,Good,Medium,Balanced,True
Lacerius Antonius,23,Numidia,170,76,Retiarius,2,1,Trident,Basic,Low,5.346682034653464,Advanced,3,Excellent,High,Aggressive,False
Cominius Mallius,22,Thrace,168,41,Retiarius,11,6,Trident,Superior,Low,3.5696485530979154,Advanced,17,Excellent,Medium,Balanced,True
Servius Nasidienus,31,Greece,166,105,Murmillo,8,0,Dagger,Basic,Low,4.921299285849316,Advanced,8,Excellent,Medium,Balanced,True
Orbilius Perperna,44,Germania,185,76,Hoplomachus,11,0,Spear,Standard,Low,3.8073548752455775,Basic,11,Good,Low,Aggressive,True
Livius Caninius,36,Gaul,185,58,Hoplomachus,7,1,Dagger,Superior,Low,3.318403743699165,Intermediate,8,Excellent,Low,Balanced,True
Ennius Papinius,45,Numidia,184,91,Hoplomachus,9,1,Spear,Standard,Low,3.748547329074219,Basic,10,Good,Medium,Balanced,True
Numerius Pinarus,45,Gaul,186,66,Retiarius,12,5,Net,Basic,Low,1.2800343773186718,Basic,17,Good,Medium,Balanced,True
Cicereius Matinius,26,Germania,178,85,Hoplomachus,4,1,Dagger,Superior,Low,5.425864460730211,Intermediate,5,Excellent,Medium,Aggressive,True
Servius Aulus,45,Greece,177,76,Retiarius,13,1,Trident,Superior,Low,2.887482831628067,Basic,14,Good,Low,Balanced,True
Petreius Ollius,39,Rome,164,76,Provocator,9,2,Gladius (Sword),Basic,High,2.885636380489891,Intermediate,11,Fair,Medium,Balanced,True
Maecilius Fidenas,44,Gaul,192,72,Hoplomachus,8,2,Spear,Superior,Low,1.5777167419660911,Basic,10,Good,Low,Balanced,True
Decimus Coruncanius,34,Thrace,180,91,Provocator,11,0,Gladius (Sword),Superior,Low,2.714468418038972,Intermediate,11,Excellent,Medium,Balanced,True
Papinius Musonius,43,Gaul,170,100,Secutor,11,0,Dagger,Standard,Low,2.370071178389939,Basic,11,Good,Medium,Balanced,True
Acilius Marcius,27,Gaul,173,104,Murmillo,5,1,Gladius (Sword),Basic,Low,6.732034399344326,Advanced,6,Excellent,Low,Balanced,False
Ogulnius Nasennius,34,Numidia,172,50,Thraex,7,1,Dagger,Basic,Low,3.65538373843166,Basic,8,Excellent,Low,Aggressive,True
Fundanus Mucius,29,Germania,170,68,Secutor,9,1,Gladius (Sword),Superior,High,2.422360676097343,Expert,10,Excellent,Medium,Defensive,True
Antonius Atilius,30,Gaul,168,62,Hoplomachus,9,2,Dagger,Basic,Low,0.9442129274775044,Intermediate,11,Excellent,Low,Aggressive,False
Ogulnius Lartius,23,Rome,183,73,Hoplomachus,7,1,Spear,Standard,Low,6.337809049522459,Intermediate,8,Excellent,Medium,Balanced,True
Baebius Caninius,41,Thrace,159,64,Murmillo,12,2,Dagger,Standard,Low,1.0152710661103546,Basic,14,Good,Medium,Balanced,True
Baebius Ennius,40,Numidia,177,102,Murmillo,9,2,Dagger,Superior,Low,5.1208307168843,Basic,11,Excellent,Medium,Balanced,True
Longinius Sulpicius,45,Greece,175,58,Retiarius,11,3,Trident,Basic,Low,2.7008072837988157,Basic,14,Good,Medium,Balanced,True
Titus Norbanus,24,Greece,162,72,Provocator,7,1,Gladius (Sword),Basic,Low,8.780308013859493,Intermediate,8,Excellent,Medium,Aggressive,True
Cominius Icilius,20,Germania,171,90,Thraex,7,1,Dagger,Basic,Low,3.5936762326008926,Advanced,8,Excellent,Medium,Balanced,True
Menenius Murena,19,Germania,184,90,Hoplomachus,4,0,Dagger,Superior,Low,5.63620904415594,Advanced,4,Excellent,High,Aggressive,True
Iulius Palpellius,20,Germania,161,68,Hoplomachus,3,0,Dagger,Basic,Low,5.347336075153183,Advanced,3,Excellent,Medium,Aggressive,True
Herennius Fidius,45,Thrace,159,94,Secutor,7,4,Gladius (Sword),Standard,Low,2.8369385238666127,Basic,11,Good,Medium,Balanced,True
Petreius Decentius,37,Greece,151,59,Hoplomachus,10,4,Spear,Superior,Low,4.099833217995305,Intermediate,14,Excellent,Medium,Balanced,True
Licinius Gnaeus,34,Thrace,195,97,Retiarius,10,3,Net,Standard,High,3.064712296160033,Expert,13,Good,Low,Aggressive,True
Burrienus Claudius,35,Thrace,166,88,Retiarius,6,0,Net,Basic,Low,0.9628120625740751,Advanced,6,Excellent,Low,Aggressive,True
Manilius Mucius,20,Thrace,180,94,Secutor,4,0,Dagger,Superior,Low,5.209488887590317,Intermediate,4,Excellent,High,Aggressive,True
Opimius Decimus,28,Germania,173,70,Provocator,13,7,Gladius (Sword),Superior,Low,2.879648738908445,Basic,20,Excellent,Medium,Aggressive,True
Latinius Nasidius,24,Thrace,170,119,Secutor,2,0,Dagger,Standard,Low,5.792410482059589,Advanced,2,Excellent,Medium,Balanced,False
Nasidius Lucius,19,Greece,160,110,Hoplomachus,3,0,Dagger,Superior,Low,8.745517997634147,Advanced,3,Excellent,High,Balanced,False
Petreius Aemilius,25,Gaul,161,74,Hoplomachus,7,1,Spear,Standard,Low,5.458017975173182,Advanced,8,Excellent,Low,Aggressive,True
Pilus Ollius,29,Gaul,171,80,Hoplomachus,9,1,Spear,Superior,High,1.3154199738471788,Expert,10,Excellent,Medium,Balanced,True
Hordeonius Julius,40,Germania,171,92,Retiarius,7,1,Trident,Standard,Low,5.439360696327657,Basic,8,Good,Low,Aggressive,True
Petilius Hordeonius,33,Rome,184,70,Provocator,9,1,Gladius (Sword),Basic,High,1.0368322550509963,Advanced,10,Good,Low,Aggressive,True
Lamponius Cocceius,19,Thrace,176,49,Retiarius,3,0,Trident,Superior,High,2.42124130218084,Advanced,3,Excellent,Medium,Balanced,False
Iulius Matinius,39,Rome,167,78,Provocator,8,2,Dagger,Basic,Low,1.0513233632563597,Basic,10,Good,Medium,Balanced,True
Acilius Hordeonius,41,Numidia,163,73,Hoplomachus,7,1,Dagger,Superior,Low,1.180508747415374,Basic,8,Good,Low,Aggressive,True
Oppius Hostius,27,Thrace,174,76,Provocator,11,5,Gladius (Sword),Superior,Low,3.22049644447746,Expert,16,Excellent,Medium,Aggressive,True
Laronius Hostius,24,Rome,192,83,Retiarius,4,2,Net,Superior,Low,7.461640364350014,Expert,6,Excellent,Medium,Aggressive,True
Munatius Opimius,36,Rome,182,82,Hoplomachus,7,2,Dagger,Superior,Low,4.948972842992635,Basic,9,Excellent,Low,Aggressive,True
Furius Acilius,25,Greece,169,63,Secutor,7,4,Dagger,Superior,High,6.773668333356159,Expert,11,Excellent,Medium,Aggressive,False
Pasidienus Blaesus,35,Numidia,171,92,Hoplomachus,7,1,Spear,Basic,Low,3.789226373072993,Intermediate,8,Excellent,Medium,Balanced,True
Orchius Pilus,19,Germania,154,97,Provocator,6,0,Gladius (Sword),Basic,Low,5.717151821830515,Advanced,6,Excellent,Medium,Balanced,True
Domitius Paternus,43,Gaul,174,106,Murmillo,11,2,Gladius (Sword),Basic,Low,3.1748962906180007,Basic,13,Good,Low,Balanced,True
Papinius Titus,20,Rome,169,104,Secutor,1,0,Gladius (Sword),Basic,Low,8.18916660189994,Expert,1,Excellent,Medium,Aggressive,False
Pilus Mescinius,43,Gaul,181,67,Thraex,9,3,Sica (Curved Sword),Standard,Low,1.59649238131028,Basic,12,Good,Low,Aggressive,True
Palpellius Persius,29,Gaul,168,103,Murmillo,12,7,Dagger,Superior,High,6.982181260848373,Basic,19,Excellent,Medium,Balanced,True
Titus Cloelius,28,Thrace,171,82,Thraex,4,0,Dagger,Superior,Low,5.003092691673968,Expert,4,Excellent,Medium,Aggressive,True
Memmius Nigidius,37,Greece,162,83,Hoplomachus,12,1,Spear,Standard,Low,4.499066295304526,Basic,13,Good,Medium,Balanced,True
Junius Longinius,37,Rome,168,64,Thraex,8,2,Sica (Curved Sword),Superior,Low,0.951754847399207,Intermediate,10,Excellent,Medium,Balanced,True
Cinna Sempronius,18,Greece,171,73,Murmillo,5,2,Gladius (Sword),Basic,High,2.713841467814904,Intermediate,7,Excellent,Medium,Balanced,False
Appius Cordius,29,Rome,171,87,Murmillo,13,1,Dagger,Standard,Low,1.073067195392295,Expert,14,Excellent,Low,Aggressive,True
Lentulus Nasennius,26,Numidia,197,83,Murmillo,6,0,Gladius (Sword),Superior,Low,6.667468101939128,Expert,6,Excellent,Low,Balanced,True
Octavius Cassius,40,Rome,166,101,Hoplomachus,10,1,Dagger,Standard,Low,2.771102006300154,Basic,11,Good,Medium,Balanced,True
Camillius Lacerius,25,Rome,176,84,Retiarius,7,1,Net,Standard,Low,8.711871108522404,Intermediate,8,Excellent,Low,Aggressive,True
Gracchus Lartius,25,Rome,184,86,Murmillo,4,0,Gladius (Sword),Standard,Low,7.742535502222909,Expert,4,Excellent,Medium,Aggressive,True
Lentulus Manius,19,Numidia,177,60,Hoplomachus,6,1,Dagger,Basic,High,4.505129572619391,Intermediate,7,Excellent,High,Aggressive,True
Egnatius Lollius,35,Gaul,150,76,Murmillo,12,0,Gladius (Sword),Standard,Low,6.92610378583986,Basic,12,Excellent,Low,Aggressive,True
Munatius Cestius,33,Rome,184,93,Murmillo,11,5,Gladius (Sword),Basic,Low,6.074800172126277,Intermediate,16,Excellent,Medium,Balanced,True
Iulius Munatius,19,Gaul,179,67,Hoplomachus,7,2,Spear,Standard,Low,5.087285776361862,Intermediate,9,Excellent,High,Balanced,False
Aemilius Junius,28,Germania,174,95,Hoplomachus,8,3,Spear,Standard,Low,3.086772213869917,Advanced,11,Excellent,Low,Aggressive,False
Icilius Hirrus,36,Gaul,172,49,Provocator,5,1,Dagger,Superior,Low,4.097748425609871,Intermediate,6,Excellent,Medium,Aggressive,False
Cassius Catilius,30,Rome,180,94,Murmillo,10,3,Dagger,Superior,Low,8.641950064922375,Intermediate,13,Excellent,Low,Aggressive,True
Cominius Cestius,24,Thrace,173,69,Provocator,4,0,Gladius (Sword),Standard,Low,5.649132846759414,Intermediate,4,Excellent,Medium,Balanced,True
Mescinius Cicereius,18,Rome,186,68,Hoplomachus,4,1,Spear,Basic,Low,9.992353348829717,Advanced,5,Excellent,Medium,Balanced,False
Camillius Oppius,21,Thrace,189,120,Murmillo,8,1,Gladius (Sword),Superior,Low,5.726460883810772,Expert,9,Excellent,Medium,Balanced,True
Pilus Cosconius,35,Thrace,170,109,Secutor,8,2,Gladius (Sword),Superior,Low,6.787783497094456,Advanced,10,Excellent,Medium,Balanced,True
Iunius Junius,30,Thrace,164,55,Hoplomachus,4,1,Spear,Standard,Low,1.5485817835263458,Advanced,5,Excellent,Medium,Balanced,False
Manius Iuventius,22,Thrace,167,81,Provocator,7,2,Gladius (Sword),Basic,Low,4.32874917559111,Advanced,9,Excellent,High,Aggressive,True
Caelius Agrippa,36,Rome,180,103,Thraex,15,5,Sica (Curved Sword),Superior,High,2.863121974066524,Basic,20,Good,Medium,Balanced,True
Cantilius Lollius,29,Greece,169,105,Hoplomachus,7,2,Spear,Basic,Low,8.49695281998663,Basic,9,Excellent,Medium,Balanced,True
Quintus Caelius,28,Thrace,182,102,Hoplomachus,5,1,Dagger,Basic,Low,0.9994772673130928,Expert,6,Excellent,Medium,Balanced,False
Licinius Caecilius,44,Germania,178,97,Secutor,16,7,Dagger,Superior,High,1.0554541717019943,Basic,23,Fair,Medium,Balanced,True
Caecilius Nigidius,27,Numidia,180,91,Hoplomachus,9,0,Dagger,Basic,Low,1.0801711180518867,Advanced,9,Excellent,Medium,Aggressive,True
Laberius Munatius,38,Rome,172,59,Provocator,10,0,Gladius (Sword),Basic,Low,6.50405009429639,Basic,10,Good,Medium,Aggressive,True
Orchius Hordeonius,23,Germania,148,87,Retiarius,10,0,Trident,Basic,Low,4.6255314013847935,Expert,10,Excellent,Medium,Aggressive,True
Ennius Nasidius,25,Numidia,182,59,Provocator,5,0,Dagger,Superior,Low,3.831218580107873,Expert,5,Excellent,Medium,Aggressive,True
Paconius Pilus,33,Germania,158,68,Hoplomachus,2,0,Dagger,Superior,Low,6.86386726456305,Intermediate,2,Excellent,Low,Balanced,True
Orbilius Caninius,27,Greece,170,91,Thraex,8,1,Dagger,Basic,Low,9.56522147952126,Intermediate,9,Excellent,Medium,Balanced,True
Persius Cornelius,37,Numidia,184,58,Retiarius,11,1,Net,Basic,Low,4.178394336945061,Basic,12,Good,Low,Balanced,True
Mescinius Cominius,23,Greece,172,60,Thraex,3,0,Sica (Curved Sword),Superior,Low,8.039455653857289,Intermediate,3,Excellent,Medium,Balanced,True
Pettius Lamponius,41,Greece,182,77,Retiarius,6,2,Net,Superior,Low,5.151122209726372,Basic,8,Excellent,Medium,Balanced,True
Maecenas Granius,36,Thrace,171,111,Retiarius,9,3,Trident,Superior,Low,7.353704290857486,Advanced,12,Excellent,Medium,Balanced,True
Didius Memmius,38,Greece,182,57,Provocator,7,3,Gladius (Sword),Standard,Low,5.310710533669826,Basic,10,Good,Medium,Balanced,True
Calventius Granius,35,Numidia,171,98,Thraex,9,3,Dagger,Superior,Low,4.420891827933053,Basic,12,Excellent,Medium,Aggressive,True
Gabinius Appius,40,Thrace,170,88,Thraex,12,1,Dagger,Basic,High,2.842293279496405,Basic,13,Fair,Medium,Balanced,True
Albinius Hostilius,19,Greece,187,57,Secutor,3,0,Dagger,Basic,Low,8.992642899751191,Advanced,3,Excellent,Medium,Defensive,True
Laetorius Percennius,41,Thrace,171,76,Hoplomachus,10,4,Spear,Basic,Low,2.8845360889564584,Basic,14,Good,Medium,Balanced,True
Catilius Fundanus,25,Rome,170,94,Thraex,9,3,Dagger,Basic,High,2.513977122585834,Intermediate,12,Excellent,Medium,Balanced,True
Ninnius Fidenas,45,Thrace,168,85,Secutor,11,3,Gladius (Sword),Superior,High,1.607238243852472,Basic,14,Fair,Medium,Aggressive,True
Manius Iunius,35,Germania,167,44,Provocator,8,5,Dagger,Basic,Low,9.465832882319996,Basic,13,Excellent,Medium,Aggressive,True
Claudius Aemilius,39,Rome,170,93,Provocator,8,1,Gladius (Sword),Standard,Low,3.500298484452986,Basic,9,Good,Medium,Balanced,True
Ennius Albinius,20,Numidia,168,89,Provocator,7,2,Gladius (Sword),Standard,Low,2.9419208428236985,Advanced,9,Excellent,Medium,Balanced,False
Hirrus Gabinius,36,Gaul,174,85,Provocator,15,4,Gladius (Sword),Basic,Low,3.866181385922965,Advanced,19,Good,Low,Balanced,True
Lollius Didius,29,Numidia,181,80,Retiarius,7,0,Net,Standard,Low,7.511927351497272,Intermediate,7,Excellent,Medium,Aggressive,True
Foslius Publius,36,Rome,182,112,Murmillo,10,4,Gladius (Sword),Basic,Low,5.9987536017069925,Intermediate,14,Excellent,Low,Balanced,True
Titus Fulcinia,45,Numidia,170,81,Retiarius,7,2,Net,Standard,Low,6.777213934512008,Basic,9,Good,Medium,Aggressive,True
Catius Nigidius,31,Numidia,203,96,Retiarius,5,0,Net,Standard,Low,4.346225196073374,Basic,5,Excellent,Low,Balanced,True
Tiberius Nasidienus,44,Germania,177,76,Retiarius,6,0,Net,Basic,Low,1.909071639093593,Basic,6,Good,Medium,Balanced,True
Mucius Hostilius,29,Rome,189,101,Secutor,5,0,Gladius (Sword),Superior,Low,6.075189014315659,Intermediate,5,Excellent,Low,Balanced,True
Ollius Granius,31,Greece,177,108,Secutor,9,1,Gladius (Sword),Basic,Low,2.899704483102028,Advanced,10,Excellent,Medium,Aggressive,True
Bruttius Palpellius,38,Gaul,169,73,Hoplomachus,9,4,Spear,Superior,Low,2.174872734476519,Basic,13,Excellent,Medium,Balanced,True
Herennius Orchius,21,Numidia,177,80,Provocator,4,0,Dagger,Basic,Low,5.4193403080033375,Intermediate,4,Excellent,High,Balanced,True
Pacilius Tarquinius,33,Greece,182,82,Secutor,11,7,Dagger,Superior,High,1.4611976699319245,Advanced,18,Good,Medium,Aggressive,True
Numerius Ollius,29,Thrace,170,113,Murmillo,5,2,Gladius (Sword),Superior,Low,3.3060645712292067,Advanced,7,Excellent,Medium,Balanced,False
Caedicius Orchius,43,Numidia,190,70,Hoplomachus,16,5,Spear,Standard,High,4.712636376232245,Basic,21,Fair,Medium,Balanced,True
Numonius Terentius,24,Numidia,156,111,Hoplomachus,3,1,Spear,Standard,Low,5.151593791082771,Intermediate,4,Excellent,High,Balanced,False
Nasennius Pettius,38,Germania,165,91,Secutor,11,4,Gladius (Sword),Basic,High,6.724434326685108,Basic,15,Fair,Medium,Balanced,True
Numerius Petreius,43,Germania,179,86,Provocator,15,3,Dagger,Standard,High,5.363886936797506,Basic,18,Fair,Low,Balanced,True
Pacilius Gracchus,34,Rome,179,93,Secutor,5,1,Dagger,Basic,Low,6.456146681647499,Advanced,6,Excellent,Low,Aggressive,True
Marcus Fannius,25,Numidia,170,85,Retiarius,7,0,Net,Standard,Low,5.078342631576393,Advanced,7,Excellent,Medium,Balanced,True
Oppius Calventius,22,Numidia,200,82,Thraex,5,3,Dagger,Basic,Low,9.945420150386436,Basic,8,Excellent,Low,Balanced,False
Geminius Numicius,34,Gaul,185,77,Thraex,4,0,Sica (Curved Sword),Standard,Low,2.963599785066093,Expert,4,Excellent,Medium,Aggressive,True
Fabrinius Fulcinia,32,Germania,176,86,Secutor,2,0,Dagger,Basic,Low,9.890462262654504,Expert,2,Excellent,Medium,Balanced,True
Cosconius Burrienus,31,Numidia,170,99,Murmillo,6,2,Gladius (Sword),Superior,Low,7.972679601083837,Basic,8,Excellent,Medium,Balanced,True
Spurius Curtius,24,Numidia,178,81,Retiarius,14,3,Trident,Standard,High,2.999271138481196,Intermediate,17,Excellent,High,Balanced,True
Granius Percennius,34,Gaul,166,79,Murmillo,4,0,Gladius (Sword),Superior,Low,5.4554112733972415,Advanced,4,Excellent,Medium,Defensive,True
Lacerius Hirrus,28,Rome,194,69,Provocator,4,0,Dagger,Standard,Low,5.831111877546602,Intermediate,4,Excellent,Low,Balanced,True
